iso3,country,WHO_region,income_group,female_smoking_2000,female_smoking_2005,female_smoking_2010,female_smoking_2022,historical_female_smoking,clean_fuel_2020,clean_fuel_urban_2020,clean_fuel_rural_2020,clean_fuel_deficit,rural_clean_fuel_disadvantage,PM25_2019,female_LC_mort_2021,female_LC_YLL_2021,female_LC_DALY_2021,female_LC_incidence_2021,GDP,HDI,SDI,urbanisation,age65,analysis_core_complete,analysis_core_plus_covariates_complete,smoking_adjusted_burden_residual_mortality,smoking_adjusted_burden_residual_YLL,smoking_adjusted_burden_residual_DALY,multiple_exposure_score_equal_weighted
AFG,Afghanistan,Eastern Mediterranean,Low-income,10.5,7.1,4.8,2.0,7.466666666666668,34.6,84.9,16.8,65.4,68.10000000000001,62.48616,1.7232654094696045,57.56581115722656,58.28790011038225,7.033560276031494,356.4962158203125,0.4729999899864197,0.337199998,25.3478620272481,2.35254951873996,True,True,0.3372795609496559,0.2683773746583013,0.2736450747055969,1.06884161007368
AGO,Angola,African,Lower-middle-income,,,,,,49.4,76.4,8.1,50.6,68.30000000000001,27.16477,0.8044400215148926,23.3895206451416,23.92472280133123,5.130019664764404,1925.8746337890625,0.5899999737739563,0.453721949,68.2524163556969,2.74470411565894,False,False,,,,
ALB,Albania,European,Upper-middle-income,11.1,9.6,8.4,6.0,9.7,83.4,94.2,67.4,16.599999999999994,26.8,16.27997,15.06342887878418,345.5658874511719,350.1336243241864,11.389755249023438,6413.28271484375,0.7850000262260437,0.706849791,57.5077187031778,15.2660050732804,True,True,-0.2019713895493242,-0.170526482933574,-0.169612296524535,-0.3619642255130218
AND,Andorra,European,High-income,28.5,30.3,32.2,37.9,30.33333333333333,100.0,100.0,100.0,0.0,0.0,8.52423,9.249778747558594,207.4903717041016,210.417427921146,6.565990924835205,42425.69921875,,0.869444113,88.6627318165299,14.5979952401309,True,False,-0.9840524831676408,-1.0834127859795233,-1.0808617561680929,0.3288253304008664
ARE,United Arab Emirates,Eastern Mediterranean,High-income,4.0,3.6,3.2,2.6,3.6,100.0,100.0,100.0,0.0,0.0,41.7495,1.7312151193618774,45.9839096069336,47.14948348186034,19.88404655456543,43360.01953125,,0.849317734,85.3571908511355,1.61923304492939,True,False,-0.0459190178696838,-0.0310282019710102,-0.0311630764081328,-0.00065493992890523
ARG,Argentina,Americas,Upper-middle-income,28.5,25.9,23.7,19.1,26.03333333333333,99.9,99.9,97.8,0.0999999999999943,2.1000000000000085,12.04087,15.430620193481444,329.0475769042969,333.05064436047473,12.811395645141602,10738.017578125,0.843999981880188,0.723122973,92.0292776175651,11.9186207827562,True,True,-0.2253259826954922,-0.2466347580740529,-0.2476996833479852,-0.1904783358698928
ARM,Armenia,European,Upper-middle-income,2.6,2.3,2.0,1.5,2.3000000000000003,98.5,99.7,96.7,1.5,3.0,34.12674,16.218360900878906,359.1128845214844,362.264589630226,8.2742338180542,4685.18017578125,0.7739999890327454,0.701833194,65.3572875314441,12.600194715032,True,True,0.2356085383902847,0.2569001329403522,0.2527069212756172,-0.20801973844903
ATG,Antigua and Barbuda,Americas,High-income,,,,,,100.0,100.0,100.0,0.0,0.0,8.29693,3.184689283370972,87.60582733154297,89.46350546843446,5.770509719848633,17348.6015625,,0.749886887,24.574983819566,10.2789418401932,False,False,,,,
AUS,Australia,Western Pacific,High-income,22.5,19.0,16.2,10.9,19.23333333333333,100.0,100.0,100.0,0.0,0.0,8.93323,28.83560371398925,551.964111328125,563.6549590409098,24.255313873291016,60607.77734375,0.9490000009536744,0.844252814,87.2353407632761,16.7491873637801,True,True,-0.2693033442922362,-0.3396340649578381,-0.3310879405790531,-0.5311170048814494
AUT,Austria,European,High-income,47.1,40.5,34.6,24.0,40.73333333333333,100.0,100.0,100.0,0.0,0.0,11.50796,39.77345275878906,831.4525756835938,843.9466719241072,23.01952743530273,53648.71875,0.9200000166893004,0.853837004,68.773601700253,19.462852720957,True,True,0.1315246952747699,0.1709283940011526,0.1717285059183774,-0.0464608090293342
AZE,Azerbaijan,European,Upper-middle-income,0.3,0.3,0.2,0.1,0.2666666666666666,98.4,99.6,96.8,1.5999999999999943,2.799999999999997,24.64286,5.006974220275879,134.05526733398438,135.5925174974279,5.761500358581543,5408.04541015625,0.7379999756813049,0.694851274,58.3659969744818,7.14668283701474,True,True,0.0857367453663652,0.0597606817512119,0.0612794260682712,-0.4828153611082805
BDI,Burundi,African,Low-income,3.8,3.2,2.7,1.8,3.233333333333333,0.1,0.1,0.1,99.9,0.0,27.99587,1.2635455131530762,38.738426208496094,38.99251242220458,2.564378023147583,214.09146118164065,0.4189999997615814,0.289374365,21.1108861865354,2.4618792599411,True,True,0.2781192999342074,0.2330544580377759,0.2353040020773039,0.5322421923992452
BEL,Belgium,European,High-income,23.0,22.6,22.5,22.0,22.7,100.0,100.0,100.0,0.0,0.0,11.25612,34.581539154052734,730.0476684570312,740.9765855126554,22.706762313842773,51658.23828125,0.9380000233650208,0.853654016,87.4305564090635,19.4520520478909,True,True,0.1202409507019867,0.214390822566189,0.2137834963669787,-0.1170199039036515
BEN,Benin,African,Lower-middle-income,1.6,1.5,1.4,1.2,1.5,5.7,9.7,1.8,94.3,7.9,31.51453,0.5707875490188599,16.92435073852539,17.270845961164817,2.947440385818481,1318.651611328125,0.5019999742507935,0.373486574,50.1961807561354,3.04703492033387,True,True,0.0249001667112795,0.0006131047504683677,0.0014935878884,0.548399748875445
BFA,Burkina Faso,African,Low-income,6.6,5.2,4.2,2.5,5.333333333333333,13.5,39.7,2.6,86.5,37.1,40.74491,1.633296012878418,49.75926208496094,50.028185769208086,2.549367427825928,895.5352783203125,0.4449999928474426,0.285118402,26.8114307743017,2.57917814320124,True,True,0.1060368312572964,0.098492777112244,0.0983058371722467,0.7449751102309463
BGD,Bangladesh,South-East Asia,Lower-middle-income,5.5,3.1,1.8,0.5,3.466666666666667,24.6,59.5,8.1,75.4,51.4,45.98906,3.56744647026062,105.38642120361328,106.00238227025892,2.9832639694213867,2482.84912109375,0.6620000004768372,0.492420885,31.3992156886061,5.97381333056883,True,True,0.0096720955036605,0.0116297396076305,0.011885627668053,0.7088119019016531
BGR,Bulgaria,European,High-income,35.7,36.0,36.6,38.7,36.1,,,,,,17.29031,25.14421272277832,595.5977172851562,603.2601140580666,15.643854141235352,12972.2177734375,0.7960000038146973,0.768150939,73.346765618041,21.7032217425472,False,False,-0.6594396269665531,-0.5172829176720025,-0.5174188765501851,
BHR,Bahrain,Eastern Mediterranean,High-income,7.5,6.7,6.1,5.1,6.766666666666666,100.0,100.0,100.0,0.0,0.0,51.81722,4.158347129821777,109.3041000366211,110.9841967316143,11.856093406677246,27147.80859375,,0.753043204,100.0,3.46416063514661,True,False,-0.064899464411724,-0.0173710117847263,-0.0178286794252928,0.3246695369148929
BHS,Bahamas,Americas,High-income,4.8,4.0,3.3,2.1,4.033333333333334,100.0,100.0,100.0,0.0,0.0,5.19903,5.285394191741943,129.78656005859375,131.9948452544467,7.755765438079834,30367.861328125,,0.805020668,81.4784235345083,11.0919512681237,True,False,-0.4995089745217766,-0.4382703439698522,-0.4390897483735319,-0.9054262601290354
BIH,Bosnia and Herzegovina,European,Upper-middle-income,34.8,33.5,32.5,30.9,33.6,40.2,59.6,13.4,59.8,46.2,26.19402,27.486019134521484,650.7081298828125,658.1882187792811,16.441434860229492,7295.34375,0.7760000228881836,0.723077893,50.4899479477034,20.6776926615011,True,True,-0.342721231742829,-0.1696970207446746,-0.1727149950350043,1.0674990104367248
BLR,Belarus,European,Upper-middle-income,11.8,11.7,11.6,11.3,11.7,99.7,99.9,99.1,0.2999999999999971,0.8000000000000114,15.48201,9.02685260772705,200.91603088378903,203.6233565993888,5.530410289764404,7489.71875,0.8009999990463257,0.784484711,78.131086803694,16.0697691637937,True,True,-0.6552659476174084,-0.7242690239946407,-0.7215368280002129,-0.3563255018014692
BLZ,Belize,Americas,Upper-middle-income,3.2,2.8,2.5,1.9,2.833333333333333,83.2,95.2,74.3,16.799999999999997,20.90000000000001,10.50946,2.9317843914031982,81.62040710449219,82.76714083351249,6.684662342071533,6122.61181640625,0.6980000138282776,0.610229002,42.3910809205294,4.59849777347213,True,True,0.1066369503843834,0.1115373761836221,0.1118497073395022,-0.6325702784861132
BOL,Bolivia (Plurinational State of),Americas,Lower-middle-income,29.2,18.4,11.8,4.2,19.8,87.5,99.1,63.0,12.5,36.1,25.23416,3.989597797393799,101.69656372070312,103.37945534413218,10.48718547821045,3384.844970703125,0.6909999847412109,0.599010799,70.3450412826165,5.5207644538141,True,True,-0.1072860511948212,-0.1843641660627218,-0.1802974135610668,-0.2389032295065293
BRA,Brazil,Americas,Upper-middle-income,18.3,15.4,13.1,8.9,15.6,96.45,99.0,81.2,3.549999999999997,17.799999999999997,10.94008,12.557271003723145,286.3226623535156,289.539564149974,11.328213691711426,7972.53662109375,0.7559999823570251,0.653043887,87.1360781715439,9.91109990998152,True,True,-0.0257335681557246,0.0158604874659978,0.0137984948675858,-0.5150242712988334
BRB,Barbados,Americas,High-income,3.7,3.1,2.6,1.7,3.1333333333333333,100.0,100.0,100.0,0.0,0.0,9.78987,12.615375518798828,250.0895843505859,252.56379789850783,5.936363697052002,18696.78515625,0.8029999732971191,0.746748764,59.3220365433819,15.2621067424193,True,True,-0.3785627953914179,-0.3621081584416066,-0.3676140719743723,-0.8066950259445423
