ISO3,Country or territory,WHO region,Income group,Complete four-indicator frame,Complete incidence-model data,Missingness pattern,"Female smoking, 2022 (%)","Clean-fuel access, 2020 (%)","Ambient PM2.5, 2019 (micrograms/m3)","Female lung-cancer incidence, 2021 (age-standardised rate per 100,000)"
AFG,Afghanistan,Eastern Mediterranean,Low-income,Yes,Yes,Complete four-indicator frame,2.000,34.600,62.486,7.034
AGO,Angola,African,Lower-middle-income,No,No,Missing female smoking only,,49.400,27.165,5.130
ALB,Albania,European,Upper-middle-income,Yes,Yes,Complete four-indicator frame,6.000,83.400,16.280,11.390
AND,Andorra,European,High-income,Yes,Yes,Complete four-indicator frame,37.900,100.000,8.524,6.566
ARE,United Arab Emirates,Eastern Mediterranean,High-income,Yes,Yes,Complete four-indicator frame,2.600,100.000,41.749,19.884
ARG,Argentina,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,19.100,99.900,12.041,12.811
ARM,Armenia,European,Upper-middle-income,Yes,Yes,Complete four-indicator frame,1.500,98.500,34.127,8.274
ATG,Antigua and Barbuda,Americas,High-income,No,No,Missing female smoking only,,100.000,8.297,5.771
AUS,Australia,Western Pacific,High-income,Yes,Yes,Complete four-indicator frame,10.900,100.000,8.933,24.255
AUT,Austria,European,High-income,Yes,Yes,Complete four-indicator frame,24.000,100.000,11.508,23.020
AZE,Azerbaijan,European,Upper-middle-income,Yes,Yes,Complete four-indicator frame,0.100,98.400,24.643,5.762
BDI,Burundi,African,Low-income,Yes,Yes,Complete four-indicator frame,1.800,0.100,27.996,2.564
BEL,Belgium,European,High-income,Yes,Yes,Complete four-indicator frame,22.000,100.000,11.256,22.707
BEN,Benin,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,1.200,5.700,31.515,2.947
BFA,Burkina Faso,African,Low-income,Yes,Yes,Complete four-indicator frame,2.500,13.500,40.745,2.549
BGD,Bangladesh,South-East Asia,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.500,24.600,45.989,2.983
BGR,Bulgaria,European,High-income,No,Yes,Missing clean-fuel access only,38.700,,17.290,15.644
BHR,Bahrain,Eastern Mediterranean,High-income,Yes,Yes,Complete four-indicator frame,5.100,100.000,51.817,11.856
BHS,Bahamas,Americas,High-income,Yes,Yes,Complete four-indicator frame,2.100,100.000,5.199,7.756
BIH,Bosnia and Herzegovina,European,Upper-middle-income,Yes,Yes,Complete four-indicator frame,30.900,40.200,26.194,16.441
BLR,Belarus,European,Upper-middle-income,Yes,Yes,Complete four-indicator frame,11.300,99.700,15.482,5.530
BLZ,Belize,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,1.900,83.200,10.509,6.685
BOL,Bolivia (Plurinational State of),Americas,Lower-middle-income,Yes,Yes,Complete four-indicator frame,4.200,87.500,25.234,10.487
BRA,Brazil,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,8.900,96.450,10.940,11.328
BRB,Barbados,Americas,High-income,Yes,Yes,Complete four-indicator frame,1.700,100.000,9.790,5.936
BRN,Brunei Darussalam,Western Pacific,High-income,Yes,Yes,Complete four-indicator frame,2.200,100.000,6.865,22.949
BTN,Bhutan,South-East Asia,Lower-middle-income,Yes,Yes,Complete four-indicator frame,2.600,88.300,26.095,3.565
BWA,Botswana,African,Upper-middle-income,Yes,Yes,Complete four-indicator frame,3.500,65.100,12.818,8.137
CAF,Central African Republic,African,Low-income,No,No,Missing female smoking only,,0.800,27.198,3.656
CAN,Canada,Americas,High-income,Yes,Yes,Complete four-indicator frame,9.700,100.000,6.389,33.999
CHE,Switzerland,European,High-income,Yes,Yes,Complete four-indicator frame,22.900,100.000,8.967,22.044
CHL,Chile,Americas,High-income,Yes,Yes,Complete four-indicator frame,26.700,100.000,20.486,11.291
CHN,China,Western Pacific,Upper-middle-income,Yes,Yes,Complete four-indicator frame,1.600,83.800,38.153,28.163
CIV,Côte d'Ivoire,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.500,36.900,40.415,2.163
CMR,Cameroon,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.300,27.400,56.367,3.970
COD,Democratic Republic of the Congo,African,Low-income,Yes,Yes,Complete four-indicator frame,0.600,4.400,31.579,3.854
COG,Congo,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.900,35.400,29.484,7.512
COK,Cook Islands,Western Pacific,Unclassified,Yes,No,Complete four-indicator frame,22.200,76.100,7.801,10.953
COL,Colombia,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,4.400,90.900,14.036,8.339
COM,Comoros,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,2.100,8.300,14.372,4.387
CPV,Cabo Verde,African,Upper-middle-income,Yes,Yes,Complete four-indicator frame,2.700,81.000,31.081,9.178
CRI,Costa Rica,Americas,High-income,Yes,Yes,Complete four-indicator frame,4.500,95.900,14.695,5.466
CUB,Cuba,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,9.500,94.700,13.320,22.554
CYP,Cyprus,European,High-income,Yes,Yes,Complete four-indicator frame,23.900,100.000,14.516,10.365
CZE,Czechia,European,High-income,Yes,Yes,Complete four-indicator frame,26.500,100.000,14.341,20.534
DEU,Germany,European,High-income,Yes,Yes,Complete four-indicator frame,19.300,100.000,10.731,25.004
DJI,Djibouti,Eastern Mediterranean,Lower-middle-income,No,No,Missing female smoking only,,9.700,19.985,4.905
DMA,Dominica,Americas,Upper-middle-income,No,No,Missing female smoking only,,87.700,8.222,9.946
DNK,Denmark,European,High-income,Yes,Yes,Complete four-indicator frame,16.100,100.000,9.657,37.914
DOM,Dominican Republic,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,5.800,92.300,7.585,9.200
DZA,Algeria,African,Upper-middle-income,Yes,Yes,Complete four-indicator frame,0.600,99.700,22.683,2.463
ECU,Ecuador,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,2.600,94.600,16.549,6.521
EGY,Egypt,Eastern Mediterranean,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.400,99.900,63.157,7.724
ERI,Eritrea,African,Low-income,No,No,Missing female smoking only,,11.700,22.745,4.528
ESP,Spain,European,High-income,Yes,Yes,Complete four-indicator frame,27.500,100.000,9.342,13.318
EST,Estonia,European,High-income,Yes,Yes,Complete four-indicator frame,21.500,100.000,6.350,10.082
ETH,Ethiopia,African,Unclassified,Yes,Yes,Complete four-indicator frame,0.900,6.200,21.805,2.582
FIN,Finland,European,High-income,Yes,Yes,Complete four-indicator frame,15.900,100.000,5.467,17.840
FJI,Fiji,Western Pacific,Upper-middle-income,Yes,Yes,Complete four-indicator frame,13.200,49.500,7.361,6.283
FRA,France,European,High-income,Yes,Yes,Complete four-indicator frame,33.700,100.000,10.457,22.368
FSM,Micronesia (Federated States of),Western Pacific,Lower-middle-income,No,No,Missing female smoking only,,13.300,7.786,16.226
GAB,Gabon,African,Upper-middle-income,No,No,Missing female smoking only,,90.000,26.286,7.559
GBR,The United Kingdom,European,High-income,Yes,Yes,Complete four-indicator frame,12.400,100.000,9.516,31.531
GEO,Georgia,European,Upper-middle-income,Yes,Yes,Complete four-indicator frame,7.600,89.600,19.064,6.193
GHA,Ghana,African,Lower-middle-income,Yes,Yes,Complete four-indicator frame,0.300,28.300,46.043,2.039
GIN,Guinea,African,Lower-middle-income,No,No,Missing female smoking only,,1.000,37.574,2.844
GMB,Gambia,African,Low-income,Yes,Yes,Complete four-indicator frame,0.500,1.700,39.104,1.313
GNB,Guinea-Bissau,African,Low-income,Yes,Yes,Complete four-indicator frame,0.500,1.000,34.850,3.960
GNQ,Equatorial Guinea,African,Upper-middle-income,No,No,Missing female smoking only,,23.000,25.669,8.078
GRC,Greece,European,High-income,Yes,Yes,Complete four-indicator frame,30.600,100.000,14.623,18.155
GRD,Grenada,Americas,Upper-middle-income,No,No,Missing female smoking only,,87.200,10.084,6.956
GTM,Guatemala,Americas,Upper-middle-income,Yes,Yes,Complete four-indicator frame,1.700,43.700,20.748,5.021
GUY,Guyana,Americas,High-income,Yes,Yes,Complete four-indicator frame,2.200,100.000,11.106,5.324
HND,Honduras,Americas,Lower-middle-income,Yes,Yes,Complete four-indicator frame,1.700,48.900,18.931,17.853
HRV,Croatia,European,High-income,Yes,Yes,Complete four-indicator frame,37.300,100.000,15.288,22.834
HTI,Haiti,Americas,Lower-middle-income,Yes,Yes,Complete four-indicator frame,2.500,4.200,9.691,6.377
HUN,Hungary,European,High-income,Yes,Yes,Complete four-indicator frame,28.100,100.000,14.245,33.486
IDN,Indonesia,Western Pacific,Upper-middle-income,Yes,Yes,Complete four-indicator frame,2.100,84.600,19.340,12.785
IND,India,South-East Asia,Lower-middle-income,Yes,Yes,Complete four-indicator frame,1.200,66.500,50.174,3.608
IRL,Ireland,European,High-income,Yes,Yes,Complete four-indicator frame,17.000,100.000,8.195,26.661
IRN,Iran (Islamic Republic of),Eastern Mediterranean,Upper-middle-income,Yes,Yes,Complete four-indicator frame,1.100,96.400,31.616,6.137
IRQ,Iraq,Eastern Mediterranean,Upper-middle-income,Yes,Yes,Complete four-indicator frame,1.700,99.300,39.289,8.784
ISL,Iceland,European,High-income,Yes,Yes,Complete four-indicator frame,9.400,100.000,5.789,39.520
