Table S5. Included vs excluded country comparison.,Table S5. Included vs excluded country comparison.,Table S5. Included vs excluded country comparison.,Table S5. Included vs excluded country comparison.,Table S5. Included vs excluded country comparison.,Table S5. Included vs excluded country comparison.,Table S5. Included vs excluded country comparison.,Table S5. Included vs excluded country comparison.
Group,Variable,N,Mean,Median,Sd,Min,Max
included core complete,GDP,161,17015.980369046607,6222.62158203125,23457.454572273287,214.09146118164062,134965.8125
excluded core incomplete,GDP,32,15020.040734291077,4490.600830078125,39670.053145799604,492.2631530761719,223823.359375
included core complete,HDI,142,0.7158169020229662,0.7300000190734863,0.15187609895862508,0.3889999985694885,0.9649999737739563
excluded core incomplete,HDI,22,0.6011363674293865,0.6305000185966492,0.13745555067288454,0.3610000014305115,0.8040000200271606
included core complete,SDI,163,0.6520088998282207,0.672509735,0.1699966202512788,0.168072774,0.933059111
excluded core incomplete,SDI,34,0.6020284451470588,0.634178566,0.18717404734043835,0.077688109,0.908262831
included core complete,urbanisation,162,60.7119480134596,62.68245015319265,21.94426498182476,14.4398342822353,100.0
excluded core incomplete,urbanisation,32,58.543819489682285,60.271725246250696,25.571512871728814,20.4811115270532,100.0
included core complete,age65,162,9.533690197005205,6.82280827199303,6.764712040644172,1.30386268899766,29.2169970691602
excluded core incomplete,age65,32,8.644493791792074,4.918073200379981,7.832503588702894,2.22176796228556,37.3192825810471
included core complete,female LC mort 2021,163,13.756250281161144,6.513805389404297,15.527640832148672,0.04557765647768974,66.5417251586914
excluded core incomplete,female LC mort 2021,34,12.44235912929563,4.8978413343429565,26.65079967362457,0.45244625210762024,155.92454528808594
included core complete,female smoking 2022,163,9.020245398773007,4.0,10.097085262767926,0.0,44.6
excluded core incomplete,female smoking 2022,2,32.2,32.2,9.192388155425121,25.7,38.7
included core complete,PM2.5 2019,163,21.834184539877302,16.8967,14.274035401639477,5.19903,64.07714
excluded core incomplete,PM2.5 2019,32,18.9317446875,16.869245,10.503534184917731,6.74203,53.64558
Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): included vs excluded.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): included vs excluded.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): included vs excluded.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): included vs excluded.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): included vs excluded.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): included vs excluded.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): included vs excluded.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): included vs excluded.
