Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.
Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.
Group type,Group,Group N,Variable,Label,Domain,Unit,N,Median,Q1,Q3,Iqr,Min,Max,Range,Median iqr,Notes
WHO region,African,47,historical female smoking,Historical female smoking,Tobacco exposure,%,39,2.433333333333333,1.1666666666666667,5.083333333333333,3.916666666666666,0.5,10.766666666666666,0.50 to 10.77,2.43 (1.17-5.08),"Mean of female smoking prevalence in 2000, 2005, and 2010."
WHO region,African,47,female smoking 2022,Current female smoking,Tobacco exposure,%,39,1.2,0.6,2.3,1.6999999999999997,0.3,6.5,0.30 to 6.50,1.20 (0.60-2.30),Female age-standardized current tobacco smoking prevalence in 2022.
WHO region,African,47,clean fuel deficit,Clean-fuel deficit,Household energy,percentage points,47,89.1,58.1,97.35,39.24999999999999,0.0,100.0,0.00 to 100.00,89.10 (58.10-97.35),100 minus national clean fuel access in 2020.
WHO region,African,47,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Household energy,percentage points,47,19.0,2.3000000000000003,43.0,40.7,0.0,71.3,0.00 to 71.30,19.00 (2.30-43.00),Urban clean fuel access minus rural clean fuel access in 2020.
WHO region,African,47,PM2.5 2019,PM2.5,Ambient pollution,ug/m3,47,27.99587,17.27709,37.89339,20.616299999999995,10.48182,56.36692,10.48 to 56.37,28.00 (17.28-37.89),National annual mean PM2.5 in 2019.
WHO region,African,47,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",47,0.9137298464775084,0.6709540486335754,1.6322308778762817,0.9612768292427063,0.0455776564776897,10.407913208007812,0.05 to 10.41,0.91 (0.67-1.63),"Female trachea, bronchus, lung cancer mortality rate in 2021."
WHO region,African,47,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",47,29.070232391357425,20.203702926635742,49.421913146972656,29.218210220336914,1.097314476966858,244.0896148681641,1.10 to 244.09,29.07 (20.20-49.42),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
WHO region,African,47,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",47,29.50427374420004,20.834149657629872,50.04311162649854,29.20896196886867,1.2779025274710822,246.362323113558,1.28 to 246.36,29.50 (20.83-50.04),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
