"Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries.","Table S7. Clean-fuel inequity gradients, rural disadvantage, and persistent exposure summaries."
Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.,Subtable 1. Clean fuel correlations.
X,X label,X label,X label,Y,Y,Y label,Y label,N,N,Rho,Rho,Rho,P value
clean fuel deficit,Clean-fuel deficit,Clean-fuel deficit,Clean-fuel deficit,SDI,SDI,SDI,SDI,191,191,-0.8984690908448139,-0.8984690908448139,-0.8984690908448139,1.7448614188379988e-69
clean fuel deficit,Clean-fuel deficit,Clean-fuel deficit,Clean-fuel deficit,HDI,HDI,HDI,HDI,161,161,-0.9089839678252789,-0.9089839678252789,-0.9089839678252789,2.6007061645990475e-62
clean fuel deficit,Clean-fuel deficit,Clean-fuel deficit,Clean-fuel deficit,urbanisation,urbanisation,Urbanisation,Urbanisation,189,189,-0.6628572332233778,-0.6628572332233778,-0.6628572332233778,2.764826336189977e-25
clean fuel deficit,Clean-fuel deficit,Clean-fuel deficit,Clean-fuel deficit,rural clean fuel disadvantage,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Rural clean-fuel disadvantage,191,191,0.708611210457754,0.708611210457754,0.708611210457754,1.9407560972313536e-30
rural clean fuel disadvantage,Rural clean-fuel disadvantage,Rural clean-fuel disadvantage,Rural clean-fuel disadvantage,SDI,SDI,SDI,SDI,191,191,-0.6318073669101242,-0.6318073669101242,-0.6318073669101242,1.1233066901858285e-22
rural clean fuel disadvantage,Rural clean-fuel disadvantage,Rural clean-fuel disadvantage,Rural clean-fuel disadvantage,urbanisation,urbanisation,Urbanisation,Urbanisation,189,189,-0.4348668710218108,-0.4348668710218108,-0.4348668710218108,4.0337666976536377e-10
persistent clean fuel deficit,Persistent clean-fuel deficit,Persistent clean-fuel deficit,Persistent clean-fuel deficit,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,161,161,0.19779581586751196,0.19779581586751196,0.19779581586751196,0.011900156604503193
clean fuel deficit change 2000 2020,Clean-fuel deficit change 2000-2020,Clean-fuel deficit change 2000-2020,Clean-fuel deficit change 2000-2020,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,161,161,-0.03687977976330011,-0.03687977976330011,-0.03687977976330011,0.6423154924912966
persistent clean fuel deficit,Persistent clean-fuel deficit,Persistent clean-fuel deficit,Persistent clean-fuel deficit,multiple-exposure score step9,multiple-exposure score step9,multiple-exposure score,multiple-exposure score,163,163,0.5529036480274423,0.5529036480274423,0.5529036480274423,1.9668481133414897e-14
Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.,Subtable 2. Clean fuel by income.
Income group,Income group,N,N,N,Clean fuel deficit median iqr,Clean fuel deficit median iqr,Clean fuel deficit median iqr,Clean fuel deficit median iqr,Rural disadvantage median iqr,Rural disadvantage median iqr,Rural disadvantage median iqr,Persistent deficit median iqr,Persistent deficit median iqr
High-income,High-income,62,62,62,0.0 (0.0 to 0.0),0.0 (0.0 to 0.0),0.0 (0.0 to 0.0),0.0 (0.0 to 0.0),0.0 (0.0 to 0.0),0.0 (0.0 to 0.0),0.0 (0.0 to 0.0),0.0 (0.0 to 0.0),0.0 (0.0 to 0.0)
