"Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit.","Table S8. First-stage historical smoking model coefficients, diagnostics, VIF, and fit."
Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.,Subtable 1. First stage coefficients hc3.
Model id,Model label,Model label,Stage,Stage,Covariate set,Outcome,Outcome label,Outcome label,Formula,Formula,Term label,P label,Term,Term,Estimate,Estimate,Robust se,Statistic,P value,P value,Conf low,Conf low,Conf high
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,Intercept,0.061,(Intercept),(Intercept),0.1271660668390701,0.1271660668390701,0.067360293806712,1.8878490524992166,0.06093963184000706,0.06093963184000706,-0.004860109022085418,-0.004860109022085418,0.2591922427002257
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,Historical female smoking (z),0.001,z historical smoking,z historical smoking,0.18119190488533987,0.18119190488533987,0.054621432196307856,3.3172309403045563,0.0011358761508571825,0.0011358761508571825,0.07413389778057647,0.07413389778057647,0.2882499119901033
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,log GDP per capita (z),0.006,z logGDP,z logGDP,0.15239282553393266,0.15239282553393266,0.05511182781695762,2.765156438651853,0.006389888727307918,0.006389888727307918,0.044373643012695724,0.044373643012695724,0.2604120080551696
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,Urbanisation (z),0.988,z urbanisation,z urbanisation,-7.311463679366192e-4,-7.311463679366192e-4,0.04855648940112341,-0.015057644754682437,0.988005808916109,0.988005808916109,-0.09590186559413849,-0.09590186559413849,0.09443957285826526
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,Population aged 65+ (z),<0.001,z age65,z age65,0.5899877523310607,0.5899877523310607,0.07330034871788986,8.04890785174487,2.1654293987497148e-13,2.1654293987497148e-13,0.4463190688439966,0.4463190688439966,0.7336564358181248
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,WHO region modelAmericas,0.002,WHO region modelAmericas,WHO region modelAmericas,-0.2638045648779129,-0.2638045648779129,0.08548294801619372,-3.0860489840375918,0.0024082136356164937,0.0024082136356164937,-0.43135114298965255,-0.43135114298965255,-0.0962579867661732
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,WHO region modelEastern Mediterranean,0.067,WHO region modelEastern Mediterranean,WHO region modelEastern Mediterranean,-0.14221421817882524,-0.14221421817882524,0.0771591923170615,-1.8431273566789101,0.06724537745701299,0.06724537745701299,-0.2934462351202658,-0.2934462351202658,0.009017798762615298
S6 z female LC mortality primary logGDP,Primary: logGDP + urbanisation + age65 + WHO region,Primary: logGDP + urbanisation + age65 + WHO region,Step 6,Step 6,primary logGDP,z female LC mortality,Female LC mortality,Female LC mortality,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,z female LC mortality ~ z historical smoking + z logGDP + z urbanisation + z age65 + WHO region model,WHO region modelEuropean,0.027,WHO region modelEuropean,WHO region modelEuropean,-0.29042814892631763,-0.29042814892631763,0.12997012244941708,-2.234576250702149,0.02689417456455672,0.02689417456455672,-0.545169588927175,-0.545169588927175,-0.035686708925460164
