"Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit.","Table S9. Residual mismatch model coefficients, diagnostics, VIF, and fit."
Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.,Subtable 1. Residual mismatch coefficients hc3.
Model id,Model label,Model label,Stage,Stage,Model code,Outcome,Outcome label,Outcome label,Formula,Formula,Term label,P label,Term,Term,Estimate,Estimate,Robust se,Statistic,P value,P value,Conf low,Conf low,Conf high
S7 mortality-based smoking-adjusted burden residual A clean fuel,Model A: clean-fuel deficit only,Model A: clean-fuel deficit only,Step 7,Step 7,A clean fuel,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit,Intercept,0.895,(Intercept),(Intercept),0.004391368488116579,0.004391368488116579,0.033201187518722884,0.13226540423110436,0.8949416002591621,0.8949416002591621,-0.06068295904858027,-0.06068295904858027,0.06946569602481344
S7 mortality-based smoking-adjusted burden residual A clean fuel,Model A: clean-fuel deficit only,Model A: clean-fuel deficit only,Step 7,Step 7,A clean fuel,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit,Clean-fuel deficit (z),0.759,z clean fuel deficit,z clean fuel deficit,0.00892310767518687,0.00892310767518687,0.028980688296559386,0.3078984040639997,0.75856260752619,0.75856260752619,-0.04787904138606952,-0.04787904138606952,0.06572525673644326
S7 mortality-based smoking-adjusted burden residual B PM2.5,Model B: PM2.5 only,Model B: PM2.5 only,Step 7,Step 7,B PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z PM2.5,mortality-based smoking-adjusted burden residual ~ z PM2.5,Intercept,0.982,(Intercept),(Intercept),-7.789854580357191e-4,-7.789854580357191e-4,0.034797350938610035,-0.022386343702140314,0.9821674945911453,0.9821674945911453,-0.06898179329771138,-0.06898179329771138,0.06742382238163995
S7 mortality-based smoking-adjusted burden residual B PM2.5,Model B: PM2.5 only,Model B: PM2.5 only,Step 7,Step 7,B PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z PM2.5,mortality-based smoking-adjusted burden residual ~ z PM2.5,PM2.5 (z),0.389,z PM2.5,z PM2.5,0.024904562812820587,0.024904562812820587,0.028852843409373205,0.8631580069758403,0.38933458805665,0.38933458805665,-0.03164701026955089,-0.03164701026955089,0.08145613589519207
S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,Intercept,0.926,(Intercept),(Intercept),0.003181594519819923,0.003181594519819923,0.034122633918062556,0.09324000390649123,0.9258310210392515,0.9258310210392515,-0.0636987679595827,-0.0636987679595827,0.07006195699922253
S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,Clean-fuel deficit (z),0.991,z clean fuel deficit,z clean fuel deficit,2.8621373515532773e-4,2.8621373515532773e-4,0.02592735494417722,0.011039064176486918,0.9912062062979382,0.9912062062979382,-0.05053140195543202,-0.05053140195543202,0.051103829425742674
S7 mortality-based smoking-adjusted burden residual C clean fuel PM2.5,Model C: clean-fuel deficit + PM2.5,Model C: clean-fuel deficit + PM2.5,Step 7,Step 7,C clean fuel PM2.5,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z PM2.5,PM2.5 (z),0.375,z PM2.5,z PM2.5,0.02354506974500711,0.02354506974500711,0.02646383523366822,0.8897073888614695,0.3749756752310458,0.3749756752310458,-0.028324047312982607,-0.028324047312982607,0.07541418680299683
S7 mortality-based smoking-adjusted burden residual D add rural,Model D: add rural clean-fuel disadvantage,Model D: add rural clean-fuel disadvantage,Step 7,Step 7,D add rural,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual residual,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,mortality-based smoking-adjusted burden residual ~ z clean fuel deficit + z rural clean fuel disadvantage + z PM2.5,Intercept,0.927,(Intercept),(Intercept),0.0031502129177370976,0.0031502129177370976,0.03414790580234693,0.09225200912673796,0.926615425174506,0.926615425174506,-0.06377968245486289,-0.06377968245486289,0.07008010829033708
