"Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency.","Table S11. Outcome estimate-quality proxy using incidence, YLL, and DALY residual consistency."
Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.,Subtable 1. Outcome uncertainty proxy residual consistency.
Comparison,Comparison,X,X,Y,Y,Y,N,Rho,Rho,Rho,P value,P value,Existing pearson r,Existing pearson r
Mortality vs incidence residual,Mortality vs incidence residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,smoking-adjusted burden residual incidence,smoking-adjusted burden residual incidence,smoking-adjusted burden residual incidence,163,0.798959216586031,0.798959216586031,0.798959216586031,2.1748178686022285e-37,2.1748178686022285e-37,0.8559290873920802,0.8559290873920802
Mortality vs YLL residual,Mortality vs YLL residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,163,0.9698488702678438,0.9698488702678438,0.9698488702678438,1.249593132319828e-100,1.249593132319828e-100,0.9717594953243068,0.9717594953243068
Mortality vs DALY residual,Mortality vs DALY residual,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,163,0.971295326450197,0.971295326450197,0.971295326450197,2.5295210621036174e-102,2.5295210621036174e-102,0.9730151675130798,0.9730151675130798
Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.,Subtable 2. Outcome residual correlations.
Mortality incidence r,Mortality incidence r,Mortality incidence r,Mortality incidence r,Mortality incidence r,Mortality DALY r,Mortality DALY r,Mortality DALY r,Mortality DALY r,Mortality DALY r,Mortality YLL r,Mortality YLL r,Mortality YLL r,Mortality YLL r,Mortality YLL r
0.8559290873920802,0.8559290873920802,0.8559290873920802,0.8559290873920802,0.8559290873920802,0.9730151675130798,0.9730151675130798,0.9730151675130798,0.9730151675130798,0.9730151675130798,0.9717594953243068,0.9717594953243068,0.9717594953243068,0.9717594953243068,0.9717594953243068
Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.,Subtable 3. Outcome replacement first stage coefficients hc3.
Model id,Model label,Model label,Term,Estimate,Estimate,Robust se,Statistic,P value,Conf low,Conf low,Conf high,N,N,R-squared
mortality,Mortality,Mortality,(Intercept),0.12684289969188742,0.12684289969188742,0.06718911108065931,1.8878490524992184,0.06093963184000683,-0.004847758026204824,-0.004847758026204824,0.25853355740997963,163,163,0.7476121053940675
mortality,Mortality,Mortality,smoking z,0.18128161495638176,0.18128161495638176,0.05464847585792088,3.317230940304557,0.0011358761508571814,0.07417060227485683,0.07417060227485683,0.2883926276379067,163,163,0.7476121053940675
mortality,Mortality,Mortality,z logGDP,0.15200554962060867,0.15200554962060867,0.054971772119597945,2.765156438651853,0.006389888727307918,0.044260876266196694,0.044260876266196694,0.25975022297502065,163,163,0.7476121053940675
mortality,Mortality,Mortality,z urbanisation,-7.292883055481963e-4,-7.292883055481963e-4,0.0484330927863894,-0.015057644754685991,0.9880058089161062,-0.09565815016687142,-0.09565815016687142,0.09419957355577503,163,163,0.7476121053940675
mortality,Mortality,Mortality,z age65,0.5884884163561978,0.5884884163561978,0.07311407052928605,8.048907851744858,2.1654293987499021e-13,0.4451848381187971,0.4451848381187971,0.7317919945935984,163,163,0.7476121053940675
mortality,Mortality,Mortality,WHO region factorAmericas,-0.2631341582925356,-0.2631341582925356,0.0852657101859309,-3.0860489840375895,0.002408213635616509,-0.43025495025696014,-0.43025495025696014,-0.09601336632811105,163,163,0.7476121053940675
mortality,Mortality,Mortality,WHO region factorEastern Mediterranean,-0.14185280916209572,-0.14185280916209572,0.0769631076485658,-1.843127356678913,0.06724537745701258,-0.2927005001532847,-0.2927005001532847,0.008994881829093249,163,163,0.7476121053940675
mortality,Mortality,Mortality,WHO region factorEuropean,-0.28969008382229233,-0.28969008382229233,0.1296398293552367,-2.2345762507021574,0.02689417456455616,-0.5437841493585562,-0.5437841493585562,-0.035596018286028375,163,163,0.7476121053940675
