"Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments.","Table S12. Current exposure typology thresholds, counts, tests, and country assignments."
Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.,Subtable 1. High exposure thresholds.
Exposure,Exposure,Exposure,Exposure,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Method,Method,Method,Method,Method,Method,Quantile probability,Threshold,Threshold,Threshold,Threshold,Threshold,N available,N available,N available,N available,N available,N high,Percent high,Percent high,Percent high,Percent high,Percent high,Percent high,Min,Min,Min,Min,Min,Min,Min,Max,Max,Max,Max
female smoking 2022,female smoking 2022,female smoking 2022,female smoking 2022,female smoking 2022,female smoking 2022,female smoking 2022,female smoking 2022,female smoking 2022,female smoking 2022,female smoking 2022,top tertile,top tertile,top tertile,top tertile,top tertile,top tertile,0.6666666666666666,10.966666666666665,10.966666666666665,10.966666666666665,10.966666666666665,10.966666666666665,165,165,165,165,165,55,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0,0,0,0,0,0,0,44.6,44.6,44.6,44.6
clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,top tertile,top tertile,top tertile,top tertile,top tertile,top tertile,0.6666666666666666,48.53333333333333,48.53333333333333,48.53333333333333,48.53333333333333,48.53333333333333,191,191,191,191,191,64,33.50785340314136,33.50785340314136,33.50785340314136,33.50785340314136,33.50785340314136,33.50785340314136,0,0,0,0,0,0,0,100,100,100,100
PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,top tertile,top tertile,top tertile,top tertile,top tertile,top tertile,0.6666666666666666,24.369089999999993,24.369089999999993,24.369089999999993,24.369089999999993,24.369089999999993,195,195,195,195,195,65,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,5.19903,5.19903,5.19903,5.19903,5.19903,5.19903,5.19903,64.07714,64.07714,64.07714,64.07714
Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.,Subtable 2. Typology main counts.
Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,Exposure typology,N,N,N,N,N,N,N,N,N,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent all countries,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology,Percent complete typology
low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,low exposure,39,39,39,39,39,39,39,39,39,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,19.79695431472081,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158,23.926380368098158
single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,single exposure,88,88,88,88,88,88,88,88,88,44.67005076142132,44.67005076142132,44.67005076142132,44.67005076142132,44.67005076142132,44.67005076142132,44.67005076142132,44.67005076142132,44.67005076142132,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694,53.987730061349694
double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,double exposure,35,35,35,35,35,35,35,35,35,17.766497461928935,17.766497461928935,17.766497461928935,17.766497461928935,17.766497461928935,17.766497461928935,17.766497461928935,17.766497461928935,17.766497461928935,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681,21.47239263803681
