Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.,Table S14. Illustrative country examples.
Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.,Subtable 1. Country case examples.
Profile,Interpretive note,ISO3,Country,WHO region,Income group,Female smoking 2022,Historical female smoking,Clean fuel deficit 2020,PM2.5 2019,Female LC mort 2021,Female LC YLL 2021,Female LC DALY 2021,Female LC incidence 2021,mortality-based smoking-adjusted burden residual,SDI,Urbanisation,Exposure typology,Exposure subtype,Dominant exposure dimension,Priority median,multiple-exposure score step9
Tobacco-dominant high burden,Illustrative country profile; not a causal country-level interpretation.,DNK,Denmark,European,High-income,16.1,29.4,0,9.65653,66.5417251586914,1242.6527099609375,1262.2191114900104,37.91367721557617,1.7125517312645937,0.896424204,88.2616449318149,single exposure,tobacco-dominant,tobacco,Lower measured exposure / high burden,-0.3459975085780705
Tobacco-dominant high burden,Illustrative country profile; not a causal country-level interpretation.,HUN,Hungary,European,High-income,28.1,30.866666666666664,0,14.24457,63.453269958496094,1404.475341796875,1420.292747159995,33.486358642578125,1.640048154021008,0.790754768,70.2059275331413,single exposure,tobacco-dominant,tobacco,High measured exposure / high burden,0.15216906533802718
Tobacco-dominant high burden,Illustrative country profile; not a causal country-level interpretation.,NLD,Netherlands (Kingdom of the),European,High-income,19,28.3,0,10.7416,55.32342147827149,1158.479736328125,1174.9121729859976,32.6429443359375,1.1653878768496644,0.888464256,94.6294783220315,single exposure,tobacco-dominant,tobacco,Lower measured exposure / high burden,-0.2261836322595526
Tobacco-dominant high burden,Illustrative country profile; not a causal country-level interpretation.,GBR,The United Kingdom,European,High-income,12.4,29.2,0,9.51575,49.1778678894043,906.96807861328125,923.3417808220732,31.531354904174805,0.9128040341967782,0.859000182,82.9886431523641,single exposure,tobacco-dominant,tobacco,Lower measured exposure / high burden,-0.46862699879936265
Tobacco-dominant high burden,Illustrative country profile; not a causal country-level interpretation.,SRB,Serbia,European,Upper-middle-income,39.1,39.03333333333333,20.5,21.73909,46.819393157958984,1116.9820556640625,1128.1675264262783,23.10849952697754,0.5270905175213525,0.792416294,61.363899230957,single exposure,tobacco-dominant,tobacco,High measured exposure / high burden,0.8720458420172943
Clean-fuel/PM2.5-dominant emerging risk,Illustrative country profile; not a causal country-level interpretation.,AFG,Afghanistan,Eastern Mediterranean,Low-income,2,7.466666666666668,65.4,62.48616,1.7232654094696045,57.56581115722656,58.28790011038225,7.033560276031494,0.3372795609496559,0.337199998,25.3478620272481,double exposure,energy poverty + ambient pollution,ambient pollution,High measured exposure / lower burden,1.06884161007368
Clean-fuel/PM2.5-dominant emerging risk,Illustrative country profile; not a causal country-level interpretation.,NER,Niger,African,Low-income,0.6,1.2666666666666666,96.2,50.15037,0.04557765647768974,1.097314476966858,1.2779025274710822,1.9181580543518064,0.12287775494590272,0.168072774,17.2295936666686,double exposure,energy poverty + ambient pollution,ambient pollution,High measured exposure / lower burden,0.9991528588860036
Clean-fuel/PM2.5-dominant emerging risk,Illustrative country profile; not a causal country-level interpretation.,NGA,Nigeria,African,Lower-middle-income,0.4,0.7000000000000001,81.1,55.64206,0.7902005910873413,21.88107109069824,21.981942810267125,0.9232589602470398,0.00967222517320159,0.503390833,60.5698545383604,double exposure,energy poverty + ambient pollution,ambient pollution,High measured exposure / lower burden,0.9912421326365316
