Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.,Table S15. Historical smoking definition sensitivity.
Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.,Subtable 1. Hsa eb stability.
Model id,Model label,Model label,Model label,Smoking variable,Smoking variable,Smoking variable,Smoking variable,N common,N common,N common,Pearson r with primary HSA,Spearman r with primary HSA,Mean abs difference,Mean abs difference,Mean abs difference,Max abs difference,Max abs difference,Max abs difference,Max abs difference,Top decile overlap,Top decile overlap,Top decile overlap,Top decile jaccard
S1 cumavg,Cumulative average 2000-2022,Cumulative average 2000-2022,Cumulative average 2000-2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,163,163,163,0.9952371642644526,0.9917563081561286,0.0326215051899385,0.0326215051899385,0.0326215051899385,0.16570217463990222,0.16570217463990222,0.16570217463990222,0.16570217463990222,17,17,17,1
S1 current2022,Current female smoking 2022,Current female smoking 2022,Current female smoking 2022,female smoking 2022,female smoking 2022,female smoking 2022,female smoking 2022,163,163,163,0.974876011611982,0.9495901707483333,0.07280068438122489,0.07280068438122489,0.07280068438122489,0.449193259634092,0.449193259634092,0.449193259634092,0.449193259634092,16,16,16,0.8888888888888888
S1 primary,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,Primary mean 2000/2005/2010,historical female smoking,historical female smoking,historical female smoking,historical female smoking,163,163,163,1,1,0,0,0,0,0,0,0,17,17,17,1
S1 smoke2000,Female smoking 2000,Female smoking 2000,Female smoking 2000,female smoking 2000,female smoking 2000,female smoking 2000,female smoking 2000,163,163,163,0.9975911382666869,0.9937680460649189,0.021059024902694207,0.021059024902694207,0.021059024902694207,0.12929290445774924,0.12929290445774924,0.12929290445774924,0.12929290445774924,15,15,15,0.7894736842105263
S1 smoke2005,Female smoking 2005,Female smoking 2005,Female smoking 2005,female smoking 2005,female smoking 2005,female smoking 2005,female smoking 2005,163,163,163,0.9999686669300871,0.9998836184680866,0.0022566858350557537,0.0022566858350557537,0.0022566858350557537,0.018803077887980912,0.018803077887980912,0.018803077887980912,0.018803077887980912,17,17,17,1
S1 smoke2010,Female smoking 2010,Female smoking 2010,Female smoking 2010,female smoking 2010,female smoking 2010,female smoking 2010,female smoking 2010,163,163,163,0.9968364968927563,0.9943693506464717,0.0261983046125209,0.0261983046125209,0.0261983046125209,0.1287383579080369,0.1287383579080369,0.1287383579080369,0.1287383579080369,17,17,17,1
S1 smoke2015,Female smoking 2015,Female smoking 2015,Female smoking 2015,female smoking 2015,female smoking 2015,female smoking 2015,female smoking 2015,163,163,163,0.9893080159796424,0.980328750117767,0.048658784300505714,0.048658784300505714,0.048658784300505714,0.25282214187449165,0.25282214187449165,0.25282214187449165,0.25282214187449165,17,17,17,1
Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.,Subtable 2. Smoking definition coefficients.
Term,Estimate,Robust se,Robust se,Statistic,Statistic,P value,P value,Conf low,Conf low,Conf high,Se type,Se note,Sensitivity domain,Model id,Model id,Model label,Model label,Smoking variable,Smoking variable,Outcome variable,Outcome variable,N,Formula
