Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.,Table S16. Exposure replacement and typology threshold sensitivity.
Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.,Subtable 1. Exposure replacement coefficients.
Term,Estimate,Estimate,Estimate,Robust se,Robust se,Statistic,Statistic,Statistic,P value,P value,Conf low,Conf low,Conf low,Conf high,Conf high,Se type,Se type,Se note,Se note,Se note,Sensitivity domain,Sensitivity domain,Model id,Model id,Model id,Model label,Model label,N,N,N,Formula
(Intercept),0.003181594519819919,0.003181594519819919,0.003181594519819919,0.03412263391806255,0.03412263391806255,0.09324000390649113,0.09324000390649113,0.09324000390649113,0.9258310210392515,0.9258310210392515,-0.06369876795958268,-0.06369876795958268,-0.06369876795958268,0.07006195699922252,0.07006195699922252,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 main,S3 main,S3 main,Main: clean-fuel deficit + PM2.5 2019,Main: clean-fuel deficit + PM2.5 2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel deficit s10 + z PM2.5 2019
z clean fuel deficit s10,2.86965940749866e-4,2.86965940749866e-4,2.86965940749866e-4,0.025995495284928262,0.025995495284928262,0.011039064176486143,0.011039064176486143,0.011039064176486143,0.9912062062979388,0.9912062062979388,-0.05066420481770952,-0.05066420481770952,-0.05066420481770952,0.05123813669920926,0.05123813669920926,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 main,S3 main,S3 main,Main: clean-fuel deficit + PM2.5 2019,Main: clean-fuel deficit + PM2.5 2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel deficit s10 + z PM2.5 2019
z PM2.5 2019,0.02360567491539176,0.02360567491539176,0.02360567491539176,0.026531953326361754,0.026531953326361754,0.8897073888614718,0.8897073888614718,0.8897073888614718,0.3749756752310448,0.3749756752310448,-0.02839695360427728,-0.02839695360427728,-0.02839695360427728,0.0756083034350608,0.0756083034350608,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 main,S3 main,S3 main,Main: clean-fuel deficit + PM2.5 2019,Main: clean-fuel deficit + PM2.5 2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel deficit s10 + z PM2.5 2019
(Intercept),0.0028302004103733917,0.0028302004103733917,0.0028302004103733917,0.034657444832861664,0.034657444832861664,0.08166211975586378,0.08166211975586378,0.08166211975586378,0.9350187573944946,0.9350187573944946,-0.06509839146203547,-0.06509839146203547,-0.06509839146203547,0.07075879228278226,0.07075879228278226,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 rural disadvantage,S3 rural disadvantage,S3 rural disadvantage,Rural clean-fuel disadvantage + PM2.5 2019,Rural clean-fuel disadvantage + PM2.5 2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z rural clean fuel disadvantage s10 + z PM2.5 2019
z rural clean fuel disadvantage s10,-0.011787748203895316,-0.011787748203895316,-0.011787748203895316,0.025352043500733695,0.025352043500733695,-0.4649624478418939,-0.4649624478418939,-0.4649624478418939,0.642598499905374,0.642598499905374,-0.06147775346533336,-0.06147775346533336,-0.06147775346533336,0.03790225705754272,0.03790225705754272,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 rural disadvantage,S3 rural disadvantage,S3 rural disadvantage,Rural clean-fuel disadvantage + PM2.5 2019,Rural clean-fuel disadvantage + PM2.5 2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z rural clean fuel disadvantage s10 + z PM2.5 2019
z PM2.5 2019,0.026459450300059754,0.026459450300059754,0.026459450300059754,0.026003168088848703,0.026003168088848703,1.017547177699733,1.017547177699733,1.017547177699733,0.3104487970747766,0.3104487970747766,-0.024506759154083704,-0.024506759154083704,-0.024506759154083704,0.07742565975420321,0.07742565975420321,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 rural disadvantage,S3 rural disadvantage,S3 rural disadvantage,Rural clean-fuel disadvantage + PM2.5 2019,Rural clean-fuel disadvantage + PM2.5 2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z rural clean fuel disadvantage s10 + z PM2.5 2019
(Intercept),0.0031815945198199183,0.0031815945198199183,0.0031815945198199183,0.03412263391806255,0.03412263391806255,0.09324000390649112,0.09324000390649112,0.09324000390649112,0.9258310210392515,0.9258310210392515,-0.06369876795958268,-0.06369876795958268,-0.06369876795958268,0.07006195699922252,0.07006195699922252,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 clean access,S3 clean access,S3 clean access,Clean fuel access original scale + PM2.5 2019,Clean fuel access original scale + PM2.5 2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel access s10 + z PM2.5 2019
z clean fuel access s10,-2.869659407498559e-4,-2.869659407498559e-4,-2.869659407498559e-4,0.025995495284928265,0.025995495284928265,-0.011039064176485753,-0.011039064176485753,-0.011039064176485753,0.9912062062979392,0.9912062062979392,-0.05123813669920925,-0.05123813669920925,-0.05123813669920925,0.05066420481770954,0.05066420481770954,HC3,HC3,HC3 robust standard errors reported.,HC3 robust standard errors reported.,HC3 robust standard errors reported.,Sensitivity 3: exposure replacement,Sensitivity 3: exposure replacement,S3 clean access,S3 clean access,S3 clean access,Clean fuel access original scale + PM2.5 2019,Clean fuel access original scale + PM2.5 2019,161,161,161,primary mortality-based smoking-adjusted burden residual ~ z clean fuel access s10 + z PM2.5 2019
