"Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation.","Table S17. Clustering, PCA, silhouette, and ARI typology validation."
Subtable 1. Clustering ari.,Subtable 1. Clustering ari.,Subtable 1. Clustering ari.,Subtable 1. Clustering ari.,Subtable 1. Clustering ari.,Subtable 1. Clustering ari.,Subtable 1. Clustering ari.,Subtable 1. Clustering ari.,Subtable 1. Clustering ari.,Subtable 1. Clustering ari.,Subtable 1. Clustering ari.,Subtable 1. Clustering ari.
Clustering,Clustering,Clustering,Clustering,N,N,N,N,Adjusted rand index vs top tertile typology,Adjusted rand index vs top tertile typology,Adjusted rand index vs top tertile typology,Adjusted rand index vs top tertile typology
k-means k=4,k-means k=4,k-means k=4,k-means k=4,163,163,163,163,0.22467618596063793,0.22467618596063793,0.22467618596063793,0.22467618596063793
hierarchical Ward k=4,hierarchical Ward k=4,hierarchical Ward k=4,hierarchical Ward k=4,163,163,163,163,0.2911821101755788,0.2911821101755788,0.2911821101755788,0.2911821101755788
Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.,Subtable 2. Silhouette widths.
K,K,K,K,Kmeans avg silhouette,Kmeans avg silhouette,Kmeans avg silhouette,Kmeans avg silhouette,Hierarchical avg silhouette,Hierarchical avg silhouette,Hierarchical avg silhouette,Hierarchical avg silhouette
2,2,2,2,0.4183396106347952,0.4183396106347952,0.4183396106347952,0.4183396106347952,0.37953424507973116,0.37953424507973116,0.37953424507973116,0.37953424507973116
3,3,3,3,0.39194486308693227,0.39194486308693227,0.39194486308693227,0.39194486308693227,0.36664967983085045,0.36664967983085045,0.36664967983085045,0.36664967983085045
4,4,4,4,0.40711086996666107,0.40711086996666107,0.40711086996666107,0.40711086996666107,0.389341592788353,0.389341592788353,0.389341592788353,0.389341592788353
5,5,5,5,0.42970942909705934,0.42970942909705934,0.42970942909705934,0.42970942909705934,0.38383579425685255,0.38383579425685255,0.38383579425685255,0.38383579425685255
6,6,6,6,0.40063270610024204,0.40063270610024204,0.40063270610024204,0.40063270610024204,0.4028505026078267,0.4028505026078267,0.4028505026078267,0.4028505026078267
Subtable 3. Pca variance.,Subtable 3. Pca variance.,Subtable 3. Pca variance.,Subtable 3. Pca variance.,Subtable 3. Pca variance.,Subtable 3. Pca variance.,Subtable 3. Pca variance.,Subtable 3. Pca variance.,Subtable 3. Pca variance.,Subtable 3. Pca variance.,Subtable 3. Pca variance.,Subtable 3. Pca variance.
Component,Component,Component,Component,Component,Component,Variance explained,Variance explained,Variance explained,Variance explained,Variance explained,Variance explained
PC1,PC1,PC1,PC1,PC1,PC1,0.6023713551708344,0.6023713551708344,0.6023713551708344,0.6023713551708344,0.6023713551708344,0.6023713551708344
PC2,PC2,PC2,PC2,PC2,PC2,0.22152979938652184,0.22152979938652184,0.22152979938652184,0.22152979938652184,0.22152979938652184,0.22152979938652184
PC3,PC3,PC3,PC3,PC3,PC3,0.17609884544264368,0.17609884544264368,0.17609884544264368,0.17609884544264368,0.17609884544264368,0.17609884544264368
Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.,Subtable 4. Cluster assignments pca.
ISO3,Country,WHO region,Income group,Main typology,Kmeans cluster 4,Hierarchical cluster 4,PC1,PC2,Z current smoking cluster,Z clean fuel deficit cluster,Z PM2.5 cluster
AFG,Afghanistan,Eastern Mediterranean,Low-income,double exposure,K3,H1,-2.7642480902467397,0.8305465557912687,-0.7035500298324882,0.9099337884433354,2.9921894451737927
ALB,Albania,European,Upper-middle-income,low exposure,K1,H2,0.27368310072192925,0.14806838771072392,-0.3181071646465977,-0.39539535688639255,-0.3694317216460565
AND,Andorra,European,High-income,single exposure,K4,H3,2.617496385440711,-0.36959577216274997,2.7557996852108784,-0.8394212546829801,-0.9336820904462405
ARE,United Arab Emirates,Eastern Mediterranean,High-income,single exposure,K3,H2,-0.8638027104855424,1.5237402213335343,-0.6457336000546046,-0.8394212546829801,1.4835431970164246
ARG,Argentina,Americas,Upper-middle-income,single exposure,K4,H3,1.4192333767623078,0.11408875191778989,0.9442182188371936,-0.8367463998769767,-0.6778373332809049
ARM,Armenia,European,Upper-middle-income,single exposure,K3,H2,-0.5917578778921853,1.2300377083790117,-0.7517303879807244,-0.799298432592927,0.9289674710024929
AUS,Australia,Western Pacific,High-income,low exposure,K1,H2,1.1137156020852697,0.1572617252373268,0.15406034520611808,-0.8394212546829801,-0.9039262707772888
AUT,Austria,European,High-income,single exposure,K4,H3,1.7147880373636717,0.003818772012253946,1.4163857286899093,-0.8394212546829801,-0.7166079295150883
AZE,Azerbaijan,European,Upper-middle-income,single exposure,K1,H2,-0.23054547596037608,0.9048853234200032,-0.8866353907957861,-0.7966235777869236,0.23899039755022541
BDI,Burundi,African,Low-income,double exposure,K2,H1,-1.6546651918990367,-1.2112315964562788,-0.7228221730917826,1.8327586965145568,0.48293064426952054
BEL,Belgium,European,High-income,single exposure,K4,H3,1.6164742170964574,0.03244963388279881,1.223664296096964,-0.8394212546829801,-0.7349299481591687
BEN,Benin,African,Lower-middle-income,double exposure,K2,H1,-1.7731532662130305,-0.9444552936688656,-0.7806386028696662,1.6829668273783582,0.7389223617178177
BFA,Burkina Faso,African,Low-income,double exposure,K2,H1,-2.021412210697747,-0.45383560451672345,-0.6553696716842519,1.4743281525100822,1.4104566471845612
BGD,Bangladesh,South-East Asia,Lower-middle-income,double exposure,K3,H1,-2.2206533331462746,0.026564155993920147,-0.848091104277197,1.1774192690436893,1.7919822748543242
BHR,Bahrain,Eastern Mediterranean,High-income,single exposure,K3,H2,-1.1929697377570332,1.8473086139016104,-0.4048318093134231,-0.8394212546829801,2.2159961574015057
BHS,Bahamas,Americas,High-income,low exposure,K1,H2,0.8028577992306638,0.18647585264337407,-0.693913958202841,-0.8394212546829801,-1.1755990869332773
BIH,Bosnia and Herzegovina,European,Upper-middle-income,triple exposure,K4,H3,0.5848479748985804,-0.9287246416792005,2.08127467113557,0.7601419193071369,0.3518413443416461
BLR,Belarus,European,Upper-middle-income,single exposure,K1,H2,0.8280120825365027,0.38423978544853343,0.19260463172470718,-0.8313966902649695,-0.4274853985727964
BLZ,Belize,Americas,Upper-middle-income,low exposure,K1,H2,0.3129083739337847,0.008672299307733222,-0.7131861014621353,-0.3900456472743854,-0.7892514159196073
BOL,Bolivia (Plurinational State of),Americas,Lower-middle-income,single exposure,K1,H2,-0.18352657223744626,0.604184617632322,-0.4915564539802484,-0.5050644039325376,0.28200901899338227
BRA,Brazil,Americas,Upper-middle-income,low exposure,K1,H2,0.8615147075099447,0.18939718509382597,-0.038661087386827116,-0.7444639090698545,-0.7579226847072749
BRB,Barbados,Americas,High-income,low exposure,K1,H2,0.5680695905178672,0.3632123935619477,-0.73245824472143,-0.8394212546829801,-0.8416034703831304
