"Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics.","Table S18. Missingness handling, multiple imputation, and influence diagnostics."
Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.,Subtable 1. Missingness counts.
Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,Variable,N available,N available,N available,N available,N available,N available,N available,N available,N available,N missing,N missing,N missing,N missing,N missing,N missing,N missing,N missing,N missing,Percent missing,Percent missing,Percent missing,Percent missing,Percent missing,Percent missing,Percent missing,Percent missing,Percent missing
historical female smoking,historical female smoking,historical female smoking,historical female smoking,historical female smoking,historical female smoking,historical female smoking,historical female smoking,historical female smoking,165,165,165,165,165,165,165,165,165,32,32,32,32,32,32,32,32,32,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024
female smoking 2015,female smoking 2015,female smoking 2015,female smoking 2015,female smoking 2015,female smoking 2015,female smoking 2015,female smoking 2015,female smoking 2015,165,165,165,165,165,165,165,165,165,32,32,32,32,32,32,32,32,32,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024
female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,female smoking cumavg 2000 2022,165,165,165,165,165,165,165,165,165,32,32,32,32,32,32,32,32,32,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024,16.243654822335024
clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,clean fuel deficit,191,191,191,191,191,191,191,191,191,6,6,6,6,6,6,6,6,6,3.045685279187817,3.045685279187817,3.045685279187817,3.045685279187817,3.045685279187817,3.045685279187817,3.045685279187817,3.045685279187817,3.045685279187817
PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,PM2.5 2019,195,195,195,195,195,195,195,195,195,2,2,2,2,2,2,2,2,2,1.015228426395939,1.015228426395939,1.015228426395939,1.015228426395939,1.015228426395939,1.015228426395939,1.015228426395939,1.015228426395939,1.015228426395939
female LC mort 2021,female LC mort 2021,female LC mort 2021,female LC mort 2021,female LC mort 2021,female LC mort 2021,female LC mort 2021,female LC mort 2021,female LC mort 2021,197,197,197,197,197,197,197,197,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,GDP,193,193,193,193,193,193,193,193,193,4,4,4,4,4,4,4,4,4,2.030456852791878,2.030456852791878,2.030456852791878,2.030456852791878,2.030456852791878,2.030456852791878,2.030456852791878,2.030456852791878,2.030456852791878
urbanisation,urbanisation,urbanisation,urbanisation,urbanisation,urbanisation,urbanisation,urbanisation,urbanisation,194,194,194,194,194,194,194,194,194,3,3,3,3,3,3,3,3,3,1.5228426395939085,1.5228426395939085,1.5228426395939085,1.5228426395939085,1.5228426395939085,1.5228426395939085,1.5228426395939085,1.5228426395939085,1.5228426395939085
