"Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results.","Table S19. Stratified, interaction, latency, and model-performance results."
Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.,Subtable 1. Stratified residual models.
Strata type,Strata,Strata,Strata,Strata,Strata,N,N,N,N,N,Status,Status,Status,Status,Status,Term,Term,Term,Term,Term,Estimate,Estimate,Estimate,Estimate,Estimate,Conf low,Conf low,Conf low,Conf low,Conf low,Conf high,Conf high,Conf high,Conf high,Conf high,P value,P value,P value,P value,P value,P label
LMIC only,LMIC,LMIC,LMIC,LMIC,LMIC,103,103,103,103,103,model fitted,model fitted,model fitted,model fitted,model fitted,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,0.005251465635406409,0.005251465635406409,0.005251465635406409,0.005251465635406409,0.005251465635406409,-0.044055541018345946,-0.044055541018345946,-0.044055541018345946,-0.044055541018345946,-0.044055541018345946,0.05455847228915877,0.05455847228915877,0.05455847228915877,0.05455847228915877,0.05455847228915877,0.8350674735025615,0.8350674735025615,0.8350674735025615,0.8350674735025615,0.8350674735025615,HC3
LMIC only,LMIC,LMIC,LMIC,LMIC,LMIC,103,103,103,103,103,model fitted,model fitted,model fitted,model fitted,model fitted,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,0.07572386073314476,0.07572386073314476,0.07572386073314476,0.07572386073314476,0.07572386073314476,0.029741451241730575,0.029741451241730575,0.029741451241730575,0.029741451241730575,0.029741451241730575,0.12170627022455893,0.12170627022455893,0.12170627022455893,0.12170627022455893,0.12170627022455893,0.0016877412254183623,0.0016877412254183623,0.0016877412254183623,0.0016877412254183623,0.0016877412254183623,HC3
SDI quintile,"(0.481,0.626]","(0.481,0.626]","(0.481,0.626]","(0.481,0.626]","(0.481,0.626]",31,31,31,31,31,model fitted,model fitted,model fitted,model fitted,model fitted,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,-1.939333552718622e-4,-1.939333552718622e-4,-1.939333552718622e-4,-1.939333552718622e-4,-1.939333552718622e-4,-0.09213095659820615,-0.09213095659820615,-0.09213095659820615,-0.09213095659820615,-0.09213095659820615,0.09174308988766243,0.09174308988766243,0.09174308988766243,0.09174308988766243,0.09174308988766243,0.9967305092086167,0.9967305092086167,0.9967305092086167,0.9967305092086167,0.9967305092086167,HC3
SDI quintile,"(0.481,0.626]","(0.481,0.626]","(0.481,0.626]","(0.481,0.626]","(0.481,0.626]",31,31,31,31,31,model fitted,model fitted,model fitted,model fitted,model fitted,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,0.031428192316747795,0.031428192316747795,0.031428192316747795,0.031428192316747795,0.031428192316747795,-0.03840141028518109,-0.03840141028518109,-0.03840141028518109,-0.03840141028518109,-0.03840141028518109,0.10125779491867667,0.10125779491867667,0.10125779491867667,0.10125779491867667,0.10125779491867667,0.3852134451417497,0.3852134451417497,0.3852134451417497,0.3852134451417497,0.3852134451417497,HC3
SDI quintile,"(0.626,0.716]","(0.626,0.716]","(0.626,0.716]","(0.626,0.716]","(0.626,0.716]",32,32,32,32,32,model fitted,model fitted,model fitted,model fitted,model fitted,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,-0.08425606570763348,-0.08425606570763348,-0.08425606570763348,-0.08425606570763348,-0.08425606570763348,-0.1743575934419814,-0.1743575934419814,-0.1743575934419814,-0.1743575934419814,-0.1743575934419814,0.005845462026714432,0.005845462026714432,0.005845462026714432,0.005845462026714432,0.005845462026714432,0.07711167527339682,0.07711167527339682,0.07711167527339682,0.07711167527339682,0.07711167527339682,HC3
SDI quintile,"(0.626,0.716]","(0.626,0.716]","(0.626,0.716]","(0.626,0.716]","(0.626,0.716]",32,32,32,32,32,model fitted,model fitted,model fitted,model fitted,model fitted,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,0.07924188644056132,0.07924188644056132,0.07924188644056132,0.07924188644056132,0.07924188644056132,0.009174690673996247,0.009174690673996247,0.009174690673996247,0.009174690673996247,0.009174690673996247,0.1493090822071264,0.1493090822071264,0.1493090822071264,0.1493090822071264,0.1493090822071264,0.03464751979453367,0.03464751979453367,0.03464751979453367,0.03464751979453367,0.03464751979453367,HC3
SDI quintile,"(0.716,0.808]","(0.716,0.808]","(0.716,0.808]","(0.716,0.808]","(0.716,0.808]",29,29,29,29,29,model fitted,model fitted,model fitted,model fitted,model fitted,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,z clean fuel deficit s10,0.013002210636874094,0.013002210636874094,0.013002210636874094,0.013002210636874094,0.013002210636874094,-0.28111365075188177,-0.28111365075188177,-0.28111365075188177,-0.28111365075188177,-0.28111365075188177,0.3071180720256299,0.3071180720256299,0.3071180720256299,0.3071180720256299,0.3071180720256299,0.9316157614734495,0.9316157614734495,0.9316157614734495,0.9316157614734495,0.9316157614734495,HC3
SDI quintile,"(0.716,0.808]","(0.716,0.808]","(0.716,0.808]","(0.716,0.808]","(0.716,0.808]",29,29,29,29,29,model fitted,model fitted,model fitted,model fitted,model fitted,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,z PM2.5 2019,0.0626303951072518,0.0626303951072518,0.0626303951072518,0.0626303951072518,0.0626303951072518,-0.20533198053295773,-0.20533198053295773,-0.20533198053295773,-0.20533198053295773,-0.20533198053295773,0.3305927707474613,0.3305927707474613,0.3305927707474613,0.3305927707474613,0.3305927707474613,0.650681109778192,0.650681109778192,0.650681109778192,0.650681109778192,0.650681109778192,HC3
